res_group_mapping,scale_hps,zeta1,zeta2,IDP_weight,OP_weight,MDP_weight,train_IDP_rRMSE,train_IDP_delta,test_IDP_rRMSE,test_IDP_delta,train_OP_rRMSE,train_OP_delta,train_MDP_rRMSE,train_MDP_delta,final_loss
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_0.5_MDP_w_0.0_10_zeta_0.01_0.005_gauss_delta_mu_0.25_gauss_width_0.1,0.01,0.005,1.0,0.5,0.0,0.1893935097838875,0.04306238500333421,0.2745100028421622,-0.37450154627392584,0.3891116726257228,0.3289119110251154,0.1927810982923119,-0.08511780946415137,0.1838231980800628
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.0_10_zeta_1.0_0.0001_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.0001,1.0,1.0,0.0,0.18485364707055815,-0.2797173581880417,0.24623319449446482,-0.5087729995549789,0.1674050204733686,0.0735596608594413,0.3580831570979074,-1.1196616877097694,0.2403415739536285
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.4_10_zeta_0.5_0.0001_gauss_delta_mu_0.25_gauss_width_0.1,0.5,0.0001,0.5,1.0,0.4,0.1314619833381716,0.16561378141479738,0.14101663693584562,0.22119550590231918,0.23448960270647592,0.1840477547973182,0.17992502679377592,-0.014563126569506996,1.039556860923767
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.2_10_zeta_1.0_0.0001_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.0001,0.5,1.0,0.2,0.11183364872967395,0.10637887934960195,0.11420717207322442,0.12907934242514532,0.2549730687681593,0.17870733572384082,0.14624943803904678,-0.16662261053470592,0.7158030271530151
default,train_CL_ah_gau/results/group_default_IDP_w_0.9_OP_w_1.0_MDP_w_0.3_10_zeta_1.5_0.001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.001,0.9,1.0,0.3,0.10567865731414978,0.09475683365181528,0.11555595015093605,0.15544820146639304,0.23823288258905798,0.17777293818371512,0.1030814242240701,0.03292552488496782,0.9913796186447144
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.0_10_zeta_1.0_0.0005_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.0005,1.0,1.0,0.0,0.17680062192901416,-0.2542606290230766,0.26901141768849085,-0.6168635223228618,0.1854519448945894,0.06650959475062933,0.3418726661914315,-1.0546498682893737,0.2556498646736145
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.4_10_zeta_0.5_0.0005_gauss_delta_mu_0.25_gauss_width_0.1,0.5,0.0005,0.5,1.0,0.4,0.13731105445832006,0.16359987230492293,0.13479135872003098,0.15970656196421193,0.2475443527902589,0.2026219717450386,0.159395876427954,-0.007635366107925334,1.0495448112487793
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.2_10_zeta_1.0_0.0005_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.0005,0.5,1.0,0.2,0.11151424753480621,0.11004306303563911,0.11260754159850149,0.1393150949004023,0.21388605532031643,0.15797250807284538,0.11975698976498309,0.0727735134462281,0.725735604763031
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.2_10_zeta_1.0_0.005_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.005,0.5,1.0,0.2,0.11424777229802639,0.11727740142744578,0.11866664156966866,0.13729427237142813,0.24344376880780275,0.18288598560192248,0.15814646817866965,-0.2909635102942995,0.7812082171440125
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.2_10_zeta_0.5_0.0001_gauss_delta_mu_0.25_gauss_width_0.1,0.5,0.0001,0.5,1.0,0.2,0.12455622004937461,0.14710230518767062,0.13486314498673563,0.1511389535317795,0.24993417738201867,0.2055804707942903,0.14466349518986452,-0.05438192033478421,0.6867771148681641
