res_group_mapping,MJ_min,MJ_max,zeta1,zeta2,IDP_weight,OP_weight,MDP_weight,train_IDP_rRMSE,train_IDP_delta,test_IDP_rRMSE,test_IDP_delta,train_OP_rRMSE,train_OP_delta,train_MDP_rRMSE,train_MDP_delta
default,0.0,0.8,0.01,0.002,0.5,1.0,1.0,0.09312473358908048,0.07078080009502688,0.13680660704412104,0.08858812377989461,0.19984352080389325,0.1409137346846491,0.1959664314483789,-0.5412389024287338
default,0.0,0.8,5.0,1.0,0.5,1.0,0.0,0.17654900947803662,-0.2910982654981754,0.35337704846053386,-0.8571482599327336,0.11460646902925722,0.010404209793526693,0.3920789139840852,-1.2614670510211357
default,0.0,0.8,10.0,1.0,0.5,0.0,0.0,0.06792407774928062,-0.0033687486653676837,0.12491682858862437,-0.009060242204712009,0.37080990082535087,0.3365018835479691,0.12429391210315456,-0.1993075960033677
default,0.0,0.8,40.0,50.0,0.25,0.75,0.0,0.09161405283349056,0.07571703573674449,0.195564222722748,0.29472949493618494,0.2979911606894463,0.2418624462025872,0.2545771096697918,-0.6650160103423324
default,0.0,0.8,40.0,50.0,0.0,1.0,0.5,0.10150235015132777,0.10439569381613224,0.19375813401973827,0.31582786009008096,0.2986252152262425,0.24025137274457442,0.23858465683925598,-0.6103956630474208
default,0.0,0.8,40.0,50.0,0.5,0.0,0.25,0.12616143817755643,0.1593287044312643,0.20465168117695268,0.36955703704728865,0.4239378787460334,0.3773306717310306,0.14889899124234912,-0.000474555759334775
default,0.0,0.8,1.0,10.0,0.0,0.5,1.0,0.12738414656704591,0.15750456133337679,0.1642579543149824,0.27872013359996295,0.2197158074640511,0.167438909045663,0.208729413460997,-0.5416910322549029
default,0.0,0.8,5.0,5.0,0.5,0.5,1.0,0.10947867319780971,0.1353175766695849,0.14618084111615018,0.20809543457409166,0.25294820079789243,0.1941551927486891,0.214485135895538,-0.5750829078031319
default,0.0,0.8,1.0,1.0,0.0,0.0,0.5,0.1236001250244798,0.16176306350990102,0.13355620070834498,0.18552257019413743,0.33297666214288274,0.28754638189496967,0.1669555992526182,-0.43706170043380876
default,0.0,0.8,10.0,5.0,0.5,0.0,0.5,0.08953188654770688,0.08370327302588342,0.13600642628291354,0.13826909982197527,0.3491164299222361,0.3147983837238705,0.14803205749092205,-0.3398790683260875
default,0.0,0.8,20.0,30.0,1.0,0.5,1.0,0.09735350216260134,0.10403691575715558,0.1716217037821841,0.25661363647529417,0.31564068824610253,0.2748647386860765,0.18464025908818754,-0.43482037758217484
default,0.0,0.8,10.0,1.0,0.5,0.0,0.5,0.08029215475368054,0.059322794032040785,0.12220854224898298,0.06375073633543023,0.3270758491059249,0.2849512976269762,0.18242667734265824,-0.4729306387095189
default,0.0,0.8,1.0,10.0,0.5,0.0,0.0,0.08350050902911527,-0.1035237021654119,0.15875514653048453,-0.29670165872660487,0.27451038850026277,0.23008523131184996,0.31240262343328407,-0.9927639731451856
default,0.0,0.8,20.0,30.0,0.25,0.5,0.25,0.08820439135183084,0.07135855342879023,0.18006317443365302,0.2530071664886964,0.28579116669282767,0.2336154484352023,0.2524515900479081,-0.6800631735911389
default,0.0,0.8,5.0,1.0,0.5,0.5,1.0,0.11204322414603231,0.14020838723804965,0.13032843368292515,0.1440631890240607,0.23373446163159733,0.17263078231776496,0.2146734986718596,-0.5816067608960453
default,0.0,0.8,1.0,5.0,0.0,0.0,0.5,0.1234996365373692,0.15728477144296427,0.1445150033292755,0.2176003518428202,0.37196413580913035,0.32890893614522665,0.1372986819273286,-0.29517738009853467
default,0.0,0.8,0.005,0.005,0.5,1.0,1.0,0.0948168587461919,0.06980787969703073,0.12126590359234912,0.09419208497351332,0.15607167639264846,0.10669118314719306,0.19697393090371698,-0.5443746214764206
default,0.0,0.8,40.0,50.0,0.0,0.0,0.1,0.1673091771819922,0.23825553896943966,0.25854203285887584,0.533657256905753,0.4415126304059958,0.40067102378320263,0.15236205659208726,0.2452069917311977
default,0.0,0.8,40.0,50.0,0.0,0.0,0.9,0.1387366196315748,0.1847905266390902,0.20112902510272407,0.37609660668242,0.41341329656142584,0.36987707025242444,0.1337894016692451,0.012464119655300587
default,0.0,0.8,5.0,5.0,0.5,1.0,0.0,0.23369178215983594,-0.39360292064852204,0.33574127157412703,-0.825613312053856,0.11780623806923539,0.0015967605344989605,0.3952716924350388,-1.2712832364587856
default,0.0,0.8,20.0,30.0,0.25,0.25,0.25,0.10411714021047891,0.11352057934068695,0.1883024325608242,0.30351869436522133,0.3393988771708535,0.29644199933401433,0.17626839560285051,-0.37740585951820427
default,0.0,0.8,10.0,5.0,0.5,0.0,0.0,0.08127309292813163,0.05781467032393751,0.14696511229972073,0.14260758302672955,0.3777728603793577,0.33922784937589034,0.1404324781284816,-0.2295578076066034
default,0.0,0.8,1.0,1.0,0.5,0.5,1.0,0.10710577994572883,0.12291003479532885,0.12555277497680825,0.10258371615830603,0.1988924582497315,0.14697235785486806,0.22153553482682378,-0.6197066624472962
default,0.0,0.8,5.0,5.0,0.0,0.0,0.5,0.1267710536838699,0.16426775533178578,0.15712650017393756,0.255781569514693,0.3795324020626988,0.33196235229948157,0.12796256881239904,-0.20947429587488872
default,0.0,0.8,0.02,0.005,0.8,1.0,1.0,0.08757004421240622,0.058656515246389054,0.11638520123035379,0.07385472282556169,0.18738569521555762,0.12985706561979585,0.18687017156245916,-0.4748831698665261
