PC1_1,PC1_2,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,n_AA
Bandyopadhyay-Mehler (2008),Rose (1985),0.9426270529010086,5.189407795702303e-10,0.9501954446338721,1.493751362811185e-10,0.9426270529010086,0.9501954446338721,20
Bandyopadhyay-Mehler (2008),Tanford (1962),0.7590023976847587,0.00010440278927727117,0.8360902255639097,4.401254248076888e-06,0.7590023976847587,0.8360902255639097,20
Bandyopadhyay-Mehler (2008),Wimley-White (1996),0.6935565013913931,0.0006957490147074768,0.8394133726377637,3.70755119247958e-06,0.6935565013913931,0.8394133726377637,20
Biou accessibility information value,Black-Mould (1991),0.8393257373528175,3.724541515477228e-06,0.8335843373493976,4.996605121359388e-06,0.8393257373528175,0.8335843373493976,20
Biou accessibility information value,Cornette (1987),0.8768216926330941,3.932382283154744e-07,0.8557981927710844,1.4989375965425656e-06,0.8768216926330941,0.8557981927710844,20
Biou accessibility information value,Eisenberg (1984),0.8111740326951666,1.427792296372172e-05,0.8713320751053221,5.701957917677215e-07,0.8111740326951666,0.8713320751053221,20
Biou accessibility information value,Engelman GES (1986),0.7790265870131464,5.1791733117031565e-05,0.8743418577481729,4.660956069533948e-07,0.7790265870131464,0.8743418577481729,20
Biou accessibility information value,FDewet_C36m (2024),0.7499157011283204,0.000140465725197908,0.8264961067112638,7.076022240661536e-06,0.7499157011283204,0.8264961067112638,20
Biou accessibility information value,FDewet_a03ws (2024),0.6828347108478925,0.000907091852941041,0.8889307228915664,1.6221591809184576e-07,0.6828347108478925,0.8889307228915664,20
Biou accessibility information value,FDewet_a99SBdisp (2024),0.739370050459994,0.00019524835449406772,0.8449379597298668,2.7637202822875817e-06,0.739370050459994,0.8449379597298668,20
Biou accessibility information value,Hassanali_nBranch <nbr> (2023),0.4182133772142454,0.06650081587624851,0.3995486458384508,0.08092802219362527,0.4182133772142454,0.3995486458384508,20
Biou accessibility information value,Hopp-Woods (1981),0.8475933164311066,2.390093222197872e-06,0.9130199935712158,1.966996024500235e-08,0.8475933164311066,0.9130199935712158,20
Biou accessibility information value,Jain (2017),0.8724356711358019,5.298792683968512e-07,0.8562831618910679,1.4568756437258107e-06,0.8724356711358019,0.8562831618910679,20
Biou accessibility information value,Janin (1979),0.8483148517200197,2.296520065764943e-06,0.8909861188921531,1.3818207816765726e-07,0.8483148517200197,0.8909861188921531,20
Biou accessibility information value,Kyte-Doolittle (1982),0.8285696205851768,6.401582678822949e-06,0.8277983397387239,6.645613524117842e-06,0.8285696205851768,0.8277983397387239,20
Biou accessibility information value,Meek (1980),0.6023519881811841,0.004945774125626526,0.6097928869448547,0.004307796438845287,0.6023519881811841,0.6097928869448547,20
Biou accessibility information value,PARCH (2023),0.6849828007061384,0.0008608881780515478,0.6917576703712673,0.0007279668875800722,0.6849828007061384,0.6917576703712673,20
Biou accessibility information value,Ponnuswamy average gain in surrounding hydrophobicity,0.7680333195672572,7.674892949087258e-05,0.7331577485762942,0.00023537773836914541,0.7680333195672572,0.7331577485762942,20
Biou accessibility information value,Ponnuswamy surrounding hydrophobicity folded form,0.7338482783790894,0.00023059507552457143,0.6701807228915663,0.0012239423377054517,0.7338482783790894,0.6701807228915663,20
Biou accessibility information value,Rose (1985),0.9807714776753126,3.183271817655506e-14,0.9739470429681427,4.778616017763177e-13,0.9807714776753126,0.9739470429681427,20
Biou accessibility information value,Tanford (1962),0.7876393273358272,3.746753929057152e-05,0.826937781123272,6.927403410208401e-06,0.7876393273358272,0.826937781123272,20
Biou accessibility information value,Wimley-White (1996),0.741443573220632,0.00018322978095013134,0.8867144022822121,1.921700511949533e-07,0.741443573220632,0.8867144022822121,20
Black-Mould (1991),Cornette (1987),0.7294799872009728,0.00026230374908025504,0.6935240963855421,0.0006963185372538685,0.7294799872009728,0.6935240963855421,20
Black-Mould (1991),Eisenberg (1984),0.8850447586042285,2.1783719546078496e-07,0.9089543581409577,2.9225372321862833e-08,0.8850447586042285,0.9089543581409577,20
Black-Mould (1991),Engelman GES (1986),0.8651476037291076,8.497492416859194e-07,0.8675698468017585,7.285412755021396e-07,0.8651476037291076,0.8675698468017585,20
Black-Mould (1991),FDewet_C36m (2024),0.8370497795459125,4.190216989353659e-06,0.8964998753124912,8.84305420072622e-08,0.8370497795459125,0.8964998753124912,20
Black-Mould (1991),FDewet_a03ws (2024),0.7548237367522277,0.00011985142736151018,0.8825301204819278,2.621686516269335e-07,0.7548237367522277,0.8825301204819278,20
Black-Mould (1991),FDewet_a99SBdisp (2024),0.8662481353368895,7.926538576419035e-07,0.9209635578881888,8.557343526345207e-09,0.8662481353368895,0.9209635578881888,20
Black-Mould (1991),Hassanali_nBranch <nbr> (2023),0.415023045526732,0.06881840156263472,0.4785554402132857,0.03280009195451344,0.415023045526732,0.4785554402132857,20
Black-Mould (1991),Hopp-Woods (1981),0.879125089579341,3.347084300690707e-07,0.8948654949417965,1.0119772820363073e-07,0.879125089579341,0.8948654949417965,20
Black-Mould (1991),Jain (2017),0.8247471023605158,7.692115686192322e-06,0.821670661498283,8.889442620212626e-06,0.8247471023605158,0.821670661498283,20
Black-Mould (1991),Janin (1979),0.7296735397419496,0.00026082389958979375,0.7487753793399339,0.000145668054052558,0.7296735397419496,0.7487753793399339,20
Black-Mould (1991),Kyte-Doolittle (1982),0.8357486571364692,4.478578328136139e-06,0.8119372401634382,1.3807940527430608e-05,0.8357486571364692,0.8119372401634382,20
Black-Mould (1991),Meek (1980),0.7775216932003087,5.4726732285714194e-05,0.8033898874943637,1.9922253218086747e-05,0.7775216932003087,0.8033898874943637,20
Black-Mould (1991),PARCH (2023),0.644019342811832,0.002180447106372561,0.7000376860122727,0.0005894824325459908,0.644019342811832,0.7000376860122727,20
Black-Mould (1991),Ponnuswamy average gain in surrounding hydrophobicity,0.6115615515570344,0.004166623885934019,0.5397064740546231,0.014043946135350241,0.6115615515570344,0.5397064740546231,20
Black-Mould (1991),Ponnuswamy surrounding hydrophobicity folded form,0.5642670830631453,0.009551269774136666,0.47063253012048195,0.0362344396615243,0.5642670830631453,0.47063253012048195,20
Black-Mould (1991),Rose (1985),0.7790625514592163,5.1723286340148165e-05,0.7692633294013598,7.352199774250782e-05,0.7790625514592163,0.7692633294013598,20
Black-Mould (1991),Tanford (1962),0.8373272768922119,4.130853617633198e-06,0.8698271837838966,6.294882399641122e-07,0.8373272768922119,0.8698271837838966,20
Black-Mould (1991),Wimley-White (1996),0.7792200542224091,5.142444844052059e-05,0.841550680604001,3.313555474447697e-06,0.7792200542224091,0.841550680604001,20
Cornette (1987),Eisenberg (1984),0.6444949685167838,0.0021586869924187535,0.7720092478912439,6.673664566063695e-05,0.6444949685167838,0.7720092478912439,20
Cornette (1987),Engelman GES (1986),0.6176456332045445,0.003709893071742052,0.7389016388198846,0.00019805482673453502,0.6176456332045445,0.7389016388198846,20
Cornette (1987),FDewet_C36m (2024),0.6916669330431566,0.0007296249283293109,0.7282650120611547,0.0002717578617951782,0.6916669330431566,0.7282650120611547,20
Cornette (1987),FDewet_a03ws (2024),0.6722754734652405,0.001165846172285788,0.8637048192771084,9.300302351787573e-07,0.6722754734652405,0.8637048192771084,20
Cornette (1987),FDewet_a99SBdisp (2024),0.6751112438163783,0.0010909122651571578,0.7489650511636681,0.00014479146265488,0.6751112438163783,0.7489650511636681,20
Cornette (1987),Hassanali_nBranch <nbr> (2023),0.3960473867018414,0.08387428502072246,0.45447717907047885,0.04409954390605124,0.3960473867018414,0.45447717907047885,20
Cornette (1987),Hopp-Woods (1981),0.6772067494757275,0.0010381846605188746,0.7643800360428448,8.706220911673363e-05,0.6772067494757275,0.7643800360428448,20
Cornette (1987),Jain (2017),0.8206612932581493,9.316041696485068e-06,0.8179084331947195,1.0571139636913488e-05,0.8206612932581493,0.8179084331947195,20
Cornette (1987),Janin (1979),0.6991707453429699,0.0006028445496755482,0.7759349900766971,5.79754915069505e-05,0.6991707453429699,0.7759349900766971,20
Cornette (1987),Kyte-Doolittle (1982),0.8070173296599539,1.7089076964696855e-05,0.751514003686159,0.00013344260605030226,0.8070173296599539,0.751514003686159,20
Cornette (1987),Meek (1980),0.5238285112160158,0.01775961750578479,0.5653484393478857,0.009384292958702198,0.5238285112160158,0.5653484393478857,20
Cornette (1987),PARCH (2023),0.6134888267928287,0.004017171144494113,0.5630410635883656,0.009743499824670637,0.6134888267928287,0.5630410635883656,20
Cornette (1987),Ponnuswamy average gain in surrounding hydrophobicity,0.7874793653863158,3.769850602694172e-05,0.7357922990075232,0.00021757410370585112,0.7874793653863158,0.7357922990075232,20
Cornette (1987),Ponnuswamy surrounding hydrophobicity folded form,0.7624219118547839,9.306494687485771e-05,0.7051957831325301,0.0005150611997727191,0.7624219118547839,0.7051957831325301,20
Cornette (1987),Rose (1985),0.884552058646612,2.2596424966477774e-07,0.8821792525682751,2.6894362636952707e-07,0.884552058646612,0.8821792525682751,20
Cornette (1987),Tanford (1962),0.6376960529522125,0.002487605558666477,0.7366443018377463,0.0002120687192388751,0.6376960529522125,0.7366443018377463,20
Cornette (1987),Wimley-White (1996),0.6118449921744031,0.004144360026762192,0.7933760441472425,2.9952486940214012e-05,0.6118449921744031,0.7933760441472425,20
Eisenberg (1984),Engelman GES (1986),0.935452500886448,1.4593470193768494e-09,0.9428571428571428,5.009327938313892e-10,0.935452500886448,0.9428571428571428,20
Eisenberg (1984),FDewet_C36m (2024),0.6553139088251249,0.0017105228897387628,0.832643909955201,5.237468767052581e-06,0.6553139088251249,0.832643909955201,20
Eisenberg (1984),FDewet_a03ws (2024),0.5548075238875584,0.01111751780039543,0.8577880532124933,1.332844493275548e-06,0.5548075238875584,0.8577880532124933,20
Eisenberg (1984),FDewet_a99SBdisp (2024),0.7070018531035009,0.0004909648886922966,0.9040993493822508,4.5806155344843325e-08,0.7070018531035009,0.9040993493822508,20
Eisenberg (1984),Hassanali_nBranch <nbr> (2023),0.08734718841228896,0.7142328098592117,0.24962406015037594,0.28851258969719185,0.08734718841228896,0.24962406015037594,20
Eisenberg (1984),Hopp-Woods (1981),0.8460399789413194,2.6028979733608803e-06,0.8707604877604493,5.921134531221458e-07,0.8460399789413194,0.8707604877604493,20
Eisenberg (1984),Jain (2017),0.7641954200085987,8.761356276927408e-05,0.831578947368421,5.522372803574232e-06,0.7641954200085987,0.831578947368421,20
Eisenberg (1984),Janin (1979),0.9000526884225973,6.544470249033226e-08,0.8993623465780181,6.944686821880376e-08,0.9000526884225973,0.8993623465780181,20
Eisenberg (1984),Kyte-Doolittle (1982),0.8785924645717552,3.4751623211481555e-07,0.932836830474556,2.06642456303203e-09,0.8785924645717552,0.932836830474556,20
